region,sex,nb_voters
서울,남,4065823
서울,여,4301830
부산,남,1438478
부산,여,1509375
대구,남,1002006
대구,여,1039862
인천,남,1201009
인천,여,1206663
광주,남,570843
광주,여,595672
대전,남,604243
대전,여,615779
울산,남,482215
울산,여,458242
세종,남,94122
세종,여,95267
경기,남,5125424
경기,여,5130070
강원,남,643684
강원,여,642957
충북,남,653550
충북,여,649490
충남,남,865289
충남,여,845744
전북,남,751252
전북,여,773539
전남,남,779528
전남,여,791673
경북,남,1118608
경북,여,1127023
경남,남,1367748
경남,여,1371141
제주,남,256309
제주,여,257955
